"OS","n","a","x","x",3,1,7,6,"m"
"MF","n","a","x","x",3,2,1,7,6
"EL","n","a","x","x",4,3,1,6,6
"RF","n","a","x","x",3,1,1,11,6
"LC","n","b",6,"x","x",3,1,6,6
"RY","n","b",6,"x","x",4,3,1,7
"LS","n","b",7,"x","x",3,2,1,11
"HI","n","b",1,"x","x",7,7,7,1
"RJ","n","b",6,"x","x",3,11,8,7
"JF","n","c","m","m","x","x",3,1,6
"CJ","n","c",7,6,"x","x",3,1,7
"GH","n","c",6,6,"x","x",3,2,8
"CQ","n","c",8,6,"x","x",4,3,1
"ND","n","d",6,6,"m","x","x",3,1
"LK","n","d",11,6,6,"x","x",4,3
"DT","n","d",1,7,6,"x","x",3,3
"EP","n","d",1,7,6,"x","x",3,2
"MN","n","d",9,6,6,"x","x",4,4
"XV","n","e","m","m","m","m","x","x","m"
"SK","n","e","m","m","m","m","x","x","m"
"CP","n","e",2,8,6,"m","x","x",3
"VB","n","e",1,7,7,6,"x","x",4
"PL","n","f",3,1,1,6,"m","x","x"
"JT","n","f",3,2,7,6,"m","x","x"
"MR","n","f",3,11,8,8,8,"x","x"
"SR","n","f",4,3,1,11,6,"x","x"
"PG","n","f",3,3,1,6,6,"x","x"
"FY","n","f",2,1,1,1,6,"x","x"
"CL","n","g","x",1,7,7,6,"m","x"
"ZZ","n","g","x",1,6,6,"m","m","x"
"LI","n","g","x",1,1,7,6,"m","x"
"DA","n","g","x",4,3,1,7,6,"x"
"RA","n","g","x",3,2,1,6,6,"x"
"AR","n","g","x",3,11,8,8,7,"x"
"RZ","n","g","x",6,6,6,3,8,"x"
